Datetime,Load(MWh)
2020-06-06 01:00:00+00:00,131.644841
2020-06-06 02:00:00+00:00,123.94551200000001
2020-06-06 03:00:00+00:00,123.695609
2020-06-06 04:00:00+00:00,128.29091
2020-06-06 05:00:00+00:00,144.13483100000005
2020-06-06 06:00:00+00:00,172.573305
2020-06-06 07:00:00+00:00,198.146639
2020-06-06 08:00:00+00:00,217.805942
2020-06-06 09:00:00+00:00,232.205181
2020-06-06 10:00:00+00:00,239.03501200000002
2020-06-06 11:00:00+00:00,249.42442599999998
2020-06-06 12:00:00+00:00,247.908011
2020-06-06 13:00:00+00:00,243.53413999999998
2020-06-06 14:00:00+00:00,246.097396
2020-06-06 15:00:00+00:00,266.154447
2020-06-06 16:00:00+00:00,272.676384
2020-06-06 17:00:00+00:00,262.230527
2020-06-06 18:00:00+00:00,245.337268
2020-06-06 19:00:00+00:00,230.113952
2020-06-06 20:00:00+00:00,219.06496800000002
2020-06-06 21:00:00+00:00,195.602622
2020-06-06 22:00:00+00:00,173.293157
2020-06-06 23:00:00+00:00,160.08879199999996
2020-06-07 00:00:00+00:00,153.10170399999996
2020-06-07 01:00:00+00:00,143.552543
2020-06-07 02:00:00+00:00,137.98219199999997
2020-06-07 03:00:00+00:00,136.15809199999998
2020-06-07 04:00:00+00:00,136.374538
2020-06-07 05:00:00+00:00,147.96142700000001
2020-06-07 06:00:00+00:00,173.531307
2020-06-07 07:00:00+00:00,199.807254
2020-06-07 08:00:00+00:00,217.748543
2020-06-07 09:00:00+00:00,228.188496
2020-06-07 10:00:00+00:00,228.542317
2020-06-07 11:00:00+00:00,223.109219
2020-06-07 12:00:00+00:00,219.43514800000003
2020-06-07 13:00:00+00:00,218.247875
2020-06-07 14:00:00+00:00,225.218684
2020-06-07 15:00:00+00:00,249.388852
2020-06-07 16:00:00+00:00,263.18950800000005
2020-06-07 17:00:00+00:00,261.95937200000003
2020-06-07 18:00:00+00:00,253.125161
2020-06-07 19:00:00+00:00,237.236965
2020-06-07 20:00:00+00:00,217.470143
2020-06-07 21:00:00+00:00,186.940013
2020-06-07 22:00:00+00:00,160.86911899999998
2020-06-07 23:00:00+00:00,147.276503
2020-06-08 00:00:00+00:00,142.56069699999995
2020-06-08 01:00:00+00:00,136.21766699999998
2020-06-08 02:00:00+00:00,131.124866
2020-06-08 03:00:00+00:00,134.53121299999998
2020-06-08 04:00:00+00:00,155.447846
2020-06-08 05:00:00+00:00,189.796365
2020-06-08 06:00:00+00:00,208.612187
2020-06-08 07:00:00+00:00,215.000593
2020-06-08 08:00:00+00:00,217.938784
2020-06-08 09:00:00+00:00,226.59866200000002
2020-06-08 10:00:00+00:00,233.678511
2020-06-08 11:00:00+00:00,228.43188999999998
2020-06-08 12:00:00+00:00,227.228968
2020-06-08 13:00:00+00:00,226.36378
2020-06-08 14:00:00+00:00,236.204176
2020-06-08 15:00:00+00:00,260.399738
2020-06-08 16:00:00+00:00,266.175284
2020-06-08 17:00:00+00:00,259.603103
2020-06-08 18:00:00+00:00,249.44093999999998
2020-06-08 19:00:00+00:00,234.345967
2020-06-08 20:00:00+00:00,216.9424
2020-06-08 21:00:00+00:00,187.470777
2020-06-08 22:00:00+00:00,163.462642
2020-06-08 23:00:00+00:00,150.100645
2020-06-09 00:00:00+00:00,145.20011399999999
2020-06-09 01:00:00+00:00,138.607621
2020-06-09 02:00:00+00:00,136.029484
2020-06-09 03:00:00+00:00,137.83644400000003
2020-06-09 04:00:00+00:00,155.646729
2020-06-09 05:00:00+00:00,186.555084
2020-06-09 06:00:00+00:00,206.988733
2020-06-09 07:00:00+00:00,212.3812
2020-06-09 08:00:00+00:00,216.068994
2020-06-09 09:00:00+00:00,224.77994700000002
2020-06-09 10:00:00+00:00,230.932454
2020-06-09 11:00:00+00:00,224.249768
2020-06-09 12:00:00+00:00,221.744713
2020-06-09 13:00:00+00:00,219.962315
2020-06-09 14:00:00+00:00,226.66682100000003
2020-06-09 15:00:00+00:00,245.531641
2020-06-09 16:00:00+00:00,248.86848500000002
2020-06-09 17:00:00+00:00,242.91903900000003
2020-06-09 18:00:00+00:00,235.945622
2020-06-09 19:00:00+00:00,225.174633
2020-06-09 20:00:00+00:00,210.785854
2020-06-09 21:00:00+00:00,182.247583
2020-06-09 22:00:00+00:00,158.026282
2020-06-09 23:00:00+00:00,145.028535
2020-06-10 00:00:00+00:00,139.58919500000002
2020-06-10 01:00:00+00:00,133.05021100000002
2020-06-10 02:00:00+00:00,130.336859
2020-06-10 03:00:00+00:00,133.58098600000002
2020-06-10 04:00:00+00:00,150.81591
2020-06-10 05:00:00+00:00,181.299963
2020-06-10 06:00:00+00:00,202.741793
2020-06-10 07:00:00+00:00,213.909765
2020-06-10 08:00:00+00:00,216.05255800000003
2020-06-10 09:00:00+00:00,225.39827999999997
2020-06-10 10:00:00+00:00,229.32545299999998
2020-06-10 11:00:00+00:00,221.72745299999997
2020-06-10 12:00:00+00:00,217.546727
2020-06-10 13:00:00+00:00,214.878009
2020-06-10 14:00:00+00:00,222.61411
2020-06-10 15:00:00+00:00,242.6869
2020-06-10 16:00:00+00:00,245.364138
2020-06-10 17:00:00+00:00,241.08054900000002
2020-06-10 18:00:00+00:00,234.480334
2020-06-10 19:00:00+00:00,222.692331
2020-06-10 20:00:00+00:00,208.00025
2020-06-10 21:00:00+00:00,180.919749
2020-06-10 22:00:00+00:00,156.81255599999997
2020-06-10 23:00:00+00:00,143.039016
2020-06-11 00:00:00+00:00,137.33191000000002
2020-06-11 01:00:00+00:00,129.48792699999998
2020-06-11 02:00:00+00:00,127.266342
2020-06-11 03:00:00+00:00,130.41619
2020-06-11 04:00:00+00:00,148.118135
2020-06-11 05:00:00+00:00,178.10418
2020-06-11 06:00:00+00:00,200.037969
2020-06-11 07:00:00+00:00,207.28241200000002
2020-06-11 08:00:00+00:00,215.667146
2020-06-11 09:00:00+00:00,224.391707
2020-06-11 10:00:00+00:00,228.887788
2020-06-11 11:00:00+00:00,221.02717400000003
2020-06-11 12:00:00+00:00,217.003985
2020-06-11 13:00:00+00:00,214.505492
2020-06-11 14:00:00+00:00,222.150636
2020-06-11 15:00:00+00:00,241.570019
2020-06-11 16:00:00+00:00,244.29818500000002
2020-06-11 17:00:00+00:00,240.97957999999997
2020-06-11 18:00:00+00:00,234.19514300000003
2020-06-11 19:00:00+00:00,221.05976299999998
2020-06-11 20:00:00+00:00,205.67422600000003
2020-06-11 21:00:00+00:00,179.00091
2020-06-11 22:00:00+00:00,153.685687
2020-06-11 23:00:00+00:00,139.37063
2020-06-12 00:00:00+00:00,132.770051
2020-06-12 01:00:00+00:00,124.87920600000001
2020-06-12 02:00:00+00:00,122.670272
2020-06-12 03:00:00+00:00,126.658787
2020-06-12 04:00:00+00:00,143.83753099999996
2020-06-12 05:00:00+00:00,173.76789300000004
2020-06-12 06:00:00+00:00,197.915991
2020-06-12 07:00:00+00:00,208.971305
2020-06-12 08:00:00+00:00,215.323759
2020-06-12 09:00:00+00:00,223.795909
2020-06-12 10:00:00+00:00,227.489496
2020-06-12 11:00:00+00:00,220.63594799999998
2020-06-12 12:00:00+00:00,215.946802
2020-06-12 13:00:00+00:00,212.45431800000003
2020-06-12 14:00:00+00:00,217.33039
2020-06-12 15:00:00+00:00,230.458669
2020-06-12 16:00:00+00:00,230.666609
2020-06-12 17:00:00+00:00,223.178727
2020-06-12 18:00:00+00:00,214.901659
2020-06-12 19:00:00+00:00,205.03075600000003
2020-06-12 20:00:00+00:00,196.465056
2020-06-12 21:00:00+00:00,179.55392
2020-06-12 22:00:00+00:00,158.99041699999995
2020-06-12 23:00:00+00:00,143.505589
2020-06-13 00:00:00+00:00,135.31911599999998
